# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
0.0000000,0.0000000,0.0000000,inf,nan,2817996427.7479877,2776168051753.9667969,1810087635040.7783203,10765453109451.6269531,192541835527.5882874,7596228098357.9980469,126110430563930.6718750,1226690257211283.0000000,8297281388941944.0000000
0.0025000,0.0025000,0.0025000,inf,nan,1649392801.7831576,1139211793813.9975586,742776719761.1768799,4417647922420.8945312,79010240745.0409698,3117143391584.0478516,51749941879970.6875000,503377491321177.6250000,3404824265276237.0000000
0.0050000,0.0050000,0.0050000,inf,nan,1541946729.2234342,497119657952.1529541,324126614561.9609985,1927736456752.1711426,34477773754.6894836,1360233091397.1821289,22582214546434.4335938,219659748345973.3125000,1485769371514368.5000000
0.0075000,0.0075000,0.0075000,inf,nan,700321868.0047057,228860970363.0912781,149219442786.9352417,887480036411.1882324,15872638524.1774025,626216146137.8052979,10396271342152.3339844,101125713216320.7656250,684010128871176.2500000
0.0100000,0.0100000,0.0100000,inf,nan,339047093.8166912,110438061080.4314270,72006606901.8536682,428258325874.6818237,7659403477.0435972,302184006017.1411743,5016779689420.0302734,48798792620166.1328125,330073026594756.5625000
0.0125000,0.0125000,0.0125000,inf,nan,173308961.5328962,55560575753.8114929,36225982144.7916565,215453735395.1011353,3853374979.3691888,152026632226.0240173,2523907979730.7875977,24550347424883.1171875,166057553626810.0000000
0.0150000,0.0150000,0.0150000,inf,nan,92834499.3787002,29010755456.5176048,18915258531.5092468,112498481358.4965210,2012015862.6920891,79380218549.8085022,1317851627210.2973633,12818899767121.0371094,86706527795397.6093750
0.0175000,0.0175000,0.0175000,inf,nan,51795818.8727320,15661757312.2317543,10211592805.8087711,60733533122.0613785,1086200524.7044387,42854275335.0463562,711457387756.4404297,6920433146614.5244141,46809542111304.1406250
0.0200000,0.0200000,0.0200000,inf,nan,29952541.7696057,8713627598.2437344,5681351762.6149378,33789955228.2438774,604317033.5365249,23842577224.5767212,395829909350.0741577,3850287813386.8559570,26043203969757.9414062
0.0225000,0.0225000,0.0225000,inf,nan,17879836.9509099,4982198755.3544779,3248428670.8279724,19320145639.7843552,345527152.7520910,13632513706.6867485,226324842007.6021423,2201491886590.7099609,14890814416153.0878906
0.0250000,0.0250000,0.0250000,inf,nan,10980673.3784006,2920502248.0304842,1904185843.2055585,11325250512.1740761,202540884.8823141,7991224315.1485491,132669390831.9448547,1290493940017.3195801,8728860110731.8984375
0.0275000,0.0275000,0.0275000,inf,nan,6918884.3791776,1751448908.6120467,1141954085.6077726,6791863004.9163132,121463308.0182914,4792414453.5587692,79563382585.1344757,773925171141.3698730,5234808738004.1064453
0.0300000,0.0300000,0.0300000,inf,nan,4463054.0302522,1072624902.5918573,699355973.7748569,4159496815.8069196,74385122.4632969,2934987020.7452393,48726691459.7413101,473972700075.9602051,3205941327760.0878906
0.0325000,0.0325000,0.0325000,inf,nan,2942489.5252881,669759645.4893745,436685200.7423544,2597249971.6349154,46445691.9240314,1832648030.1755295,30425813716.2345619,295957609205.8207397,2001853568316.8442383
